iter	Logloss
0	0.6294550063
1	0.5757186794
2	0.529894147
3	0.4823824668
4	0.4434221535
5	0.4086822005
6	0.3787476969
7	0.356261297
8	0.3344875906
9	0.3139302341
10	0.2997647051
11	0.2859413662
12	0.2721505831
13	0.2612289905
14	0.249988932
15	0.2411672417
16	0.2346745433
17	0.2261193281
18	0.2190711188
19	0.2149689457
20	0.2092888299
21	0.2028244818
22	0.1984379675
23	0.1958006198
24	0.1922414809
25	0.1886544522
26	0.1850317228
27	0.1818817095
28	0.1795845427
29	0.1770240778
30	0.1749777993
31	0.1734183788
32	0.1711233186
33	0.1693210338
34	0.1679295318
35	0.1666326561
36	0.165711533
37	0.1641358155
38	0.1630216247
39	0.1622217548
40	0.1609906784
41	0.1604732421
42	0.1593715435
43	0.1587943322
44	0.1583110351
45	0.1574204047
46	0.1569264107
47	0.1559012917
48	0.1550747918
49	0.1542708392
50	0.1538615909
51	0.1529347726
52	0.1526584502
53	0.1524557941
54	0.1517528634
55	0.1509680587
56	0.1504258767
57	0.1496519938
58	0.1491057968
59	0.1488329939
60	0.1485686427
61	0.14806759
62	0.1476839576
63	0.1473250525
64	0.1469519161
65	0.1465391537
66	0.1463626144
67	0.1458882198
68	0.1454706843
69	0.1450068776
70	0.1447427417
71	0.1445686758
72	0.1442405158
73	0.1439386052
74	0.1436993404
75	0.1434652541
76	0.1432708605
77	0.1428520809
78	0.142638147
79	0.1424162379
80	0.1421298573
81	0.1417819365
82	0.1416117583
83	0.1414302491
84	0.1409784796
85	0.1406493855
86	0.1404540445
87	0.1402959455
88	0.1400396608
89	0.1399081406
90	0.1397206126
91	0.1396040554
92	0.1393465336
93	0.1392575001
94	0.1390974048
95	0.1387791366
96	0.1386572523
97	0.1383798022
98	0.1380548634
99	0.1376794661
100	0.1374671559
101	0.1373429166
102	0.1370669953
103	0.1369331422
104	0.1366627347
105	0.1363591265
106	0.1362599808
107	0.1361597125
108	0.1359847268
109	0.1359116005
110	0.1357910901
111	0.1355458638
112	0.1352949358
113	0.135197726
114	0.1349009053
115	0.1347671996
116	0.1346133085
117	0.1344719064
118	0.1342895819
119	0.13418308
120	0.1340495679
121	0.133837366
122	0.1335394522
123	0.1332832705
124	0.1331929658
125	0.13290506
126	0.13268261
127	0.1323356559
128	0.1322139483
129	0.1320529682
130	0.1319763996
131	0.131848632
132	0.1317508781
133	0.131691312
134	0.1314606515
135	0.131297876
136	0.1311856749
137	0.1310545783
138	0.1310046913
139	0.1309340289
140	0.1308089432
141	0.1306945727
142	0.1305853009
143	0.1304717213
144	0.1304127797
145	0.1303092859
146	0.130244979
147	0.1301151969
148	0.1298789945
149	0.1296982011
150	0.1295420249
151	0.1294535395
152	0.1293366561
153	0.1292433388
154	0.1290537678
155	0.1289256086
156	0.1287803422
157	0.128609797
158	0.1284522998
159	0.1283139098
160	0.1282275612
161	0.1281869718
162	0.1280685928
163	0.1279734814
164	0.1278265321
165	0.1277916216
166	0.127725296
167	0.1276233895
168	0.127478226
169	0.127381847
170	0.1272994748
171	0.127243454
172	0.1271581601
173	0.1270429584
174	0.12688835
175	0.1267475521
176	0.1266380787
177	0.1265832594
178	0.1265033827
179	0.126434178
180	0.1262920031
181	0.12616516
182	0.12608533
183	0.1259365937
184	0.1258558306
185	0.1257725361
186	0.1257136219
187	0.1256597353
188	0.1256161323
189	0.1254941691
190	0.125391748
191	0.1253179321
192	0.12525863
193	0.1251610537
194	0.1251114223
195	0.1250084772
196	0.124879847
197	0.1247393332
198	0.1246461223
199	0.1245783433
200	0.1244729474
201	0.12440915
202	0.1243052653
203	0.1241969761
204	0.1240770791
205	0.1239625425
206	0.123860062
207	0.1237657487
208	0.1236216687
209	0.1235693454
210	0.1234216671
211	0.1233019225
212	0.1232026527
213	0.123117529
214	0.1230028122
215	0.1229006954
216	0.122815236
217	0.1226952495
218	0.1226563599
219	0.1226249159
220	0.1225640711
221	0.1224728555
222	0.122426528
223	0.1223651151
224	0.1223017351
225	0.1222450841
226	0.1222096393
227	0.12213359
228	0.1219924264
229	0.1219115009
230	0.121873259
231	0.1217778445
232	0.1216555834
233	0.1215501637
234	0.1214786217
235	0.1214272873
236	0.121349904
237	0.1212846107
238	0.1212364489
239	0.1210892745
240	0.1209592599
241	0.1208969139
242	0.1208452382
243	0.120740643
244	0.12067415
245	0.1206200299
246	0.1205394796
247	0.1204253033
248	0.1203352211
249	0.1202808401
250	0.1202238137
251	0.1201414983
252	0.1200489853
253	0.1199583192
254	0.1198790661
255	0.1198100998
256	0.1197762056
257	0.1197041482
258	0.1196284652
259	0.1195444841
260	0.119474484
261	0.1194208287
262	0.1193504766
263	0.1192804752
264	0.1192079348
265	0.119055319
266	0.1189591178
267	0.1188958352
268	0.1188317782
269	0.1187754031
270	0.118740498
271	0.1186839773
272	0.1186054634
273	0.1185547569
274	0.1183660493
275	0.1182956932
276	0.1182308008
277	0.1181433934
278	0.1181080117
279	0.1180567695
280	0.1180298337
281	0.1178915345
282	0.1178187839
283	0.1177226486
284	0.1177160628
285	0.1176686331
286	0.1175623438
287	0.1174735188
288	0.1173145022
289	0.1172243942
290	0.1171704821
291	0.1171217704
292	0.1170546633
293	0.116986282
294	0.1169261199
295	0.1169228029
296	0.1168370922
297	0.1166964953
298	0.1166280383
299	0.1165675585
300	0.1165231194
301	0.1164449938
302	0.1164436825
303	0.1163799906
304	0.1163363176
305	0.1162193442
306	0.1160905413
307	0.1160231821
308	0.1159908289
309	0.1158706616
310	0.1158637741
311	0.1158090177
312	0.1157044407
313	0.1156433656
314	0.1155348558
315	0.1154446499
316	0.1153745471
317	0.1153221842
318	0.1152620671
319	0.1151158191
320	0.115063952
321	0.1150627376
322	0.1149718251
323	0.1148937092
324	0.1148128418
325	0.1147112399
326	0.1147040085
327	0.1146207724
328	0.1145555702
329	0.114495175
330	0.1144420877
331	0.1143865895
332	0.1143842855
333	0.1143194873
334	0.1142018222
335	0.1141277232
336	0.1140514099
337	0.1139938375
338	0.1139034307
339	0.113813709
340	0.1137808307
341	0.1137251419
342	0.1136650238
343	0.1136459925
344	0.1136284525
345	0.1135543505
346	0.113502397
347	0.1134194827
348	0.1133299805
349	0.1132588644
350	0.1132073073
351	0.1131573165
352	0.1131023599
353	0.1130306529
354	0.1130297467
355	0.1129821045
356	0.1129073468
357	0.1128327069
358	0.1127744804
359	0.1127205536
360	0.1126686735
361	0.1126253921
362	0.1125632037
363	0.1125108517
364	0.1124508693
365	0.1123886125
366	0.1123868788
367	0.1123480416
368	0.1122817044
369	0.1121854195
370	0.1121103142
371	0.1120364976
372	0.1120347865
373	0.1120090935
374	0.1119680561
375	0.1119100754
376	0.1119085156
377	0.1118716864
378	0.1117951703
379	0.1117126597
380	0.1116735895
381	0.1116035741
382	0.1115302191
383	0.1114819701
384	0.1114059336
385	0.111369494
386	0.111338392
387	0.1112713788
388	0.1112465167
389	0.1111905977
390	0.1111351398
391	0.1110650873
392	0.11093921
393	0.1108947458
394	0.1108588273
395	0.1107899124
396	0.1107503437
397	0.1106901133
398	0.1106219833
399	0.110573831
400	0.1104957248
401	0.1104442281
402	0.1103518256
403	0.1102730372
404	0.1102074807
405	0.1101578114
406	0.110128314
407	0.110060227
408	0.1099734609
409	0.1099167652
410	0.1098743482
411	0.1097799113
412	0.1097226603
413	0.1096443997
414	0.1095868613
415	0.1095126614
416	0.1094711862
417	0.1094232728
418	0.1093659052
419	0.1092986549
420	0.1092201311
421	0.1091940747
422	0.1090934969
423	0.1090443717
424	0.1089465395
425	0.1089017757
426	0.1088091895
427	0.1087561016
428	0.1087292542
429	0.1086677569
430	0.1085960369
431	0.1085515799
432	0.1085073662
433	0.1084247598
434	0.1084093293
435	0.1083325556
436	0.1082324132
437	0.1081619014
438	0.1081604929
439	0.1081360185
440	0.1081219438
441	0.1080393366
442	0.1079919434
443	0.1079427788
444	0.1079109323
445	0.1078744741
446	0.107829812
447	0.1077654899
448	0.1076935925
449	0.1076929891
450	0.1076313539
451	0.1075749712
452	0.1075102568
453	0.107509624
454	0.1074593152
455	0.1074071687
456	0.1073696674
457	0.1073671111
458	0.1073665771
459	0.1073151352
460	0.1072729412
461	0.1072427126
462	0.107178615
463	0.1071505866
464	0.1070896337
465	0.1070092482
466	0.1069733424
467	0.1068985972
468	0.1068675257
469	0.1067815404
470	0.1067352891
471	0.1066851666
472	0.1065152855
473	0.1064739152
474	0.1064095664
475	0.1063623122
476	0.1063182567
477	0.1062727506
478	0.1062054865
479	0.1062013789
480	0.1061783446
481	0.1061493399
482	0.1061013929
483	0.1060156545
484	0.1060144734
485	0.1059827872
486	0.1059257902
487	0.1058816089
488	0.1058225647
489	0.1057625652
490	0.1056818831
491	0.1056135025
492	0.105539782
493	0.1054957802
494	0.1054298175
495	0.1053957837
496	0.1053397528
497	0.105294203
498	0.1052263497
499	0.1051538572
500	0.1051167915
501	0.105116259
502	0.1050563667
503	0.1049989855
504	0.1049477723
505	0.1048862319
506	0.1048543819
507	0.1047877476
508	0.1047388016
509	0.1046461286
510	0.1045909331
511	0.1045279864
512	0.1045002161
513	0.1044697175
514	0.1044067972
515	0.1043675438
516	0.1043243576
517	0.1042832392
518	0.1042337238
519	0.1041672774
520	0.104082642
521	0.1040390649
522	0.1040026641
523	0.1039497525
524	0.1039099203
525	0.1038571589
526	0.1038215906
527	0.1037711769
528	0.1037034303
529	0.1036696675
530	0.1036007504
531	0.1035182886
532	0.1034256639
533	0.1033561808
534	0.103302987
535	0.1032628769
536	0.1032026882
537	0.1031445623
538	0.1031080035
539	0.1030776971
540	0.1030389603
541	0.1029965994
542	0.1029960897
543	0.1029575242
544	0.1029373175
545	0.1029368693
546	0.1028755446
547	0.1028750923
548	0.102806858
549	0.1027517673
550	0.1027032734
551	0.1026561427
552	0.102625167
553	0.102548785
554	0.1025018489
555	0.1025008834
556	0.1024456239
557	0.1024139657
558	0.1023718123
559	0.1023252454
560	0.1022903608
561	0.1022569134
562	0.1022292509
563	0.1021928347
564	0.1021210137
565	0.1020573315
566	0.102013776
567	0.1019518792
568	0.1019514109
569	0.101913357
570	0.1018621321
571	0.1018108379
572	0.1018080438
573	0.1018076019
574	0.1017385211
575	0.1016955885
576	0.1016451294
577	0.1016038119
578	0.1015669855
579	0.1015148082
580	0.101461597
581	0.1014334149
582	0.1013527838
583	0.1012877604
584	0.1012873129
585	0.1012610241
586	0.1012148819
587	0.1011641729
588	0.1011078827
589	0.101076377
590	0.1010279358
591	0.100967338
592	0.1009134063
593	0.1009129943
594	0.10091256
595	0.1008626509
596	0.1008117371
597	0.1007695425
598	0.1007089109
599	0.1006878948
600	0.1006620974
601	0.1006413678
602	0.1006026377
603	0.1005474373
604	0.1005100444
605	0.100460654
606	0.1004014559
607	0.1003318031
608	0.100281964
609	0.1002323437
610	0.1001715925
611	0.1001711818
612	0.1001708051
613	0.1001254666
614	0.1001006118
615	0.1000470581
616	0.1000259525
617	0.09993408702
618	0.09990380651
619	0.09989279268
620	0.09984447279
621	0.09980935355
622	0.09977064253
623	0.09974947885
624	0.09973091713
625	0.09969036872
626	0.09968997833
627	0.09961732553
628	0.09955672902
629	0.09951422664
630	0.09945762062
631	0.09940933835
632	0.09933914803
633	0.09929524128
634	0.09925663437
635	0.09920603098
636	0.09915125853
637	0.09910006792
638	0.09905000645
639	0.09898591239
640	0.09893659958
641	0.0988587058
642	0.09880517278
643	0.09873452559
644	0.09869227351
645	0.09865724208
646	0.09860364142
647	0.09858715654
648	0.09853669886
649	0.09848762974
650	0.09844018966
651	0.09839117186
652	0.09834023658
653	0.09830262435
654	0.09830034535
655	0.09829935635
656	0.09825523583
657	0.09822226373
658	0.09819091272
659	0.0981230366
660	0.09812069067
661	0.09807216776
662	0.09801921427
663	0.09801228804
664	0.09797077018
665	0.09792210244
666	0.09789752198
667	0.09784683363
668	0.09779077099
669	0.09774650702
670	0.09768543715
671	0.09761008203
672	0.09756735368
673	0.09753113167
674	0.09748693281
675	0.09745946572
676	0.097423188
677	0.09737288297
678	0.09735735613
679	0.09731361838
680	0.09730960841
681	0.09726661153
682	0.09726628536
683	0.09723049502
684	0.09720910063
685	0.09716865204
686	0.09713905657
687	0.09709356606
688	0.0970654414
689	0.09701892939
690	0.09699044655
691	0.09693143487
692	0.096928758
693	0.09692626968
694	0.09687393643
695	0.09682597173
696	0.0968240819
697	0.0968220868
698	0.0968202173
699	0.09674670757
700	0.09666427257
701	0.09662680801
702	0.09655125829
703	0.09650947844
704	0.09646252455
705	0.0964136572
706	0.09637572906
707	0.09634396436
708	0.09630143857
709	0.09626309065
710	0.09619651628
711	0.09616740996
712	0.09612068704
713	0.09610449936
714	0.09610158369
715	0.09602643986
716	0.0959793826
717	0.09593820129
718	0.09590791046
719	0.09586599681
720	0.09582265998
721	0.09578453623
722	0.09574735815
723	0.09570111965
724	0.09563099799
725	0.09560431872
726	0.09554740961
727	0.09549858999
728	0.09545344112
729	0.09540947432
730	0.09535128992
731	0.09532637318
732	0.09529147928
733	0.0952330384
734	0.09519252889
735	0.09517765629
736	0.09513760947
737	0.095097296
738	0.09505248591
739	0.09500539508
740	0.09494516848
741	0.09488345137
742	0.09486984747
743	0.09482618409
744	0.09476175535
745	0.09473148299
746	0.09470659886
747	0.09466499477
748	0.09464331965
749	0.09461483984
750	0.09457473851
751	0.09450866719
752	0.09446809759
753	0.09440872572
754	0.09437609597
755	0.09436186586
756	0.09433979831
757	0.09428031459
758	0.09425452534
759	0.09418205708
760	0.09414384526
761	0.09408768184
762	0.09403362858
763	0.09401819335
764	0.09397203567
765	0.09393544635
766	0.09389601
767	0.09385747891
768	0.09381341252
769	0.09374242196
770	0.09371479544
771	0.09367883664
772	0.09363663855
773	0.09360863276
774	0.0935505067
775	0.09349502342
776	0.09344857066
777	0.09343098055
778	0.09338871783
779	0.09337417668
780	0.09330402036
781	0.09326132558
782	0.09322181366
783	0.09315353575
784	0.0930849731
785	0.09304366644
786	0.09298001681
787	0.09291619163
788	0.09289060201
789	0.09286817158
790	0.09281739657
791	0.09277874037
792	0.09271229981
793	0.09270603856
794	0.0926840861
795	0.09262394705
796	0.09258506912
797	0.09252377391
798	0.092491269
799	0.09243791125
800	0.09241885168
801	0.09236619297
802	0.09231491862
803	0.09227622377
804	0.09223305964
805	0.09219611737
806	0.09215401177
807	0.09212603632
808	0.09209588579
809	0.09206534376
810	0.0920418742
811	0.09200637195
812	0.09195657608
813	0.09186699501
814	0.09182849248
